,sales_price,estimate_range,auction_location,surface,auction_year,auction_month,auction_weekday
0,240190,25620.0,0,924.0,2019,3,Sunday
1,1252180,256200.0,0,3510.78,2019,3,Sunday
2,1282920,256200.0,0,4611.0,2019,3,Sunday
3,224180,38430.0,0,1262.24,2019,3,Sunday
4,16752020,1281000.0,0,10905.25,2019,3,Sunday
5,3250540,1281000.0,0,5617.2,2019,3,Sunday
6,2635660,1024800.0,0,2688.4,2019,3,Sunday
7,2712520,256200.0,0,4368.0,2019,3,Sunday
8,1175320,256200.0,0,1262.08,2019,3,Sunday
9,944740,256200.0,0,9413.25,2019,3,Sunday
10,512400,256200.0,0,2530.0,2019,3,Sunday
11,1329040,409920.0,0,1570.8,2019,3,Sunday
12,1252180,384300.0,0,12342.0,2019,3,Sunday
13,2174500,512400.0,0,9541.0,2019,3,Sunday
14,867880,128100.0,0,5222.88,2019,3,Sunday
15,14855240,2562000.0,0,18585.18,2019,3,Sunday
16,2328220,1281000.0,0,6716.0,2019,3,Sunday
17,7559950,2562000.0,0,20865.0,2019,3,Sunday
18,13104370,3843000.0,0,18915.0,2019,3,Sunday
19,10186260,2562000.0,0,18391.84,2019,3,Sunday
20,8289480,1281000.0,0,25350.0,2019,3,Sunday
21,791020,320250.0,0,150000.0,2019,3,Sunday
22,480380,204960.0,0,15714.0,2019,3,Sunday
23,272210,102480.0,0,13566.0,2019,3,Sunday
24,256200,166530.0,0,10000.0,2019,3,Sunday
25,867880,192150.0,0,25350.0,2019,3,Sunday
26,416330,128100.0,0,22500.0,2019,3,Sunday
27,160130,25620.0,0,6597.5,2019,3,Sunday
28,883250,128100.0,0,35640.0,2019,3,Sunday
29,1175320,256200.0,0,6787.5,2019,3,Sunday
30,1252180,256200.0,0,10905.25,2019,3,Sunday
31,1329040,256200.0,0,6916.0,2019,3,Sunday
32,668040,128100.0,0,5104.0,2019,3,Sunday
33,1636480,256200.0,0,29768.0,2019,3,Sunday
34,384300,128100.0,0,16080.0,2019,3,Sunday
35,256200,128100.0,0,12303.75,2019,3,Sunday
36,320250,128100.0,0,27740.0,2019,3,Sunday
37,272210,153720.0,0,60000.0,2019,3,Sunday
38,6730,2567.0,0,3595.5,2019,4,Monday
39,16010,6410.0,0,16992.0,2019,4,Monday
40,4803,2570.0,0,41209.0,2019,4,Monday
41,12010,2560.0,0,39162.0,2019,4,Monday
42,38430,8970.0,0,25258.0,2019,4,Monday
43,9610,2560.0,0,27664.0,2019,4,Monday
44,41630,12810.0,0,15476.0,2019,4,Monday
45,76860,25620.0,0,30740.0,2019,4,Monday
46,640,2430.0,0,5600.0,2019,4,Monday
47,4803,2570.0,0,18468.0,2019,4,Monday
48,320,2558.0,0,5400.0,2019,4,Monday
49,30420,2560.0,0,14884.0,2019,4,Monday
50,19220,3840.0,0,35200.0,2019,4,Monday
51,27220,7690.0,0,32528.0,2019,4,Monday
52,11210,2570.0,0,32400.0,2019,4,Monday
53,16010,2567.0,0,10800.0,2019,4,Monday
54,32030,11530.0,0,1200.0,2019,4,Monday
55,6410,2570.0,0,13400.0,2019,4,Monday
56,2401,641.0,0,9694.0,2019,4,Monday
57,9610,3840.0,0,12800.0,2019,4,Monday
58,13610,8970.0,0,8078.5,2019,4,Monday
59,41630,15370.0,0,3111.0,2019,4,Monday
60,16010,7690.0,0,1560.0,2019,4,Monday
61,28820,8970.0,0,1290.0,2019,4,Monday
62,17610,6410.0,0,2806.0,2019,4,Monday
63,2882,1281.0,0,11224.0,2019,4,Monday
64,5120,1281.0,0,27270.0,2019,4,Monday
65,15210,3840.0,0,1107.0,2019,4,Monday
66,14410,2570.0,0,792.0,2019,4,Monday
67,72060,12810.0,0,6798.75,2019,4,Monday
68,67250,16660.0,0,6011.75,2019,4,Monday
69,60850,25620.0,0,10485.0,2019,4,Monday
70,80060,34590.0,0,12675.0,2019,4,Monday
71,16010,2560.0,0,1557.75,2019,4,Monday
72,96080,34590.0,0,12723.75,2019,4,Monday
73,8010,3840.0,0,7472.5,2019,4,Monday
74,22420,3840.0,0,6000.0,2019,4,Monday
75,152120,14100.0,0,30000.0,2019,4,Monday
76,32030,12810.0,0,3220.0,2019,4,Monday
77,15210,3840.0,0,4416.5,2019,4,Monday
