"artist","title","sales_price","sales_price_log","estimate_range","created","auction_location","surface","artist_seal","inscribed","signed","dated","titled","stamped","auction_year","auction_month","auction_weekday","canvas","oil","acrylic","board","paper","lacquer","masonite","panel","ink","wood"
"Liang Guan","STILL LIFE",240190,12.389185555788,25620,NA,"0",924,"0","0","1","0","0","0",2019,3,"Sunday",0,1,0,1,1,0,0,0,0,0
"Liang Guan","COMPOSITION",1252180,14.0403965902763,256200,"1948","0",3510.78,"0","0","0","0","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Liang Guan","BAO CHENG SHIMEN CAVE",1282920,14.0646492877955,256200,"1950s","0",4611,"0","0","0","0","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Liang Guan","SWINEHERD",224180,12.3202045795751,38430,"1960s","0",1262.24,"0","0","0","0","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Guanzhong Wu","LOTUS FLOWERS (I)",16752020,16.634029405979,1281000,"1974","0",10905.25,"0","0","1","1","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Guanzhong Wu","SPRING TO THE NORTH",3250540,14.9943316943501,1281000,"1996","0",5617.2,"0","0","1","1","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Pierre Auguste Renoir","JEUNE FILLE SE PEIGNANT (LA COIFFURE)",2635660,14.7846441829774,1024800,"c.  1896","0",2688.4,"0","0","1","0","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Leonard Tsuguharu Foujita","FEMME AU CHAT, PORTRAIT DE GHITA",2712520,14.8133886500756,256200,"1926","0",4368,"0","0","1","1","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Leonard Tsuguharu Foujita","GIRL WITH WINE",1175320,13.977051008908,256200,"1955","0",1262.08,"0","0","1","1","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Bernard Buffet","CLOWN",944740,13.7586650363449,256200,"1968","0",9413.25,"0","0","1","1","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Yuliang Pan","BOUQUET DE CHRYSANTHÈMES ROSES",512400,13.1468608490047,256200,"1944","0",2530,"0","0","1","1","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Dayu Wu","FLOURISHING",1329040,14.0999674350604,409920,"c.  1970s","0",1570.8,"0","0","0","0","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Gee Yun","TANAKA MEMORIAL, JAPANESE IMPERIALIST DREAM",1252180,14.0403965902763,384300,"1932","0",12342,"0","0","1","1","0","0",2019,3,"Sunday",0,1,0,0,0,0,0,0,0,1
"Gee Yun","RIGHT ROUTE TO FREEDOM",2174500,14.5923093110198,512400,"1947","0",9541,"0","0","1","0","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Gee Yun","ADAM AND EVE",867880,13.6738087352373,128100,NA,"0",5222.88,"0","0","0","0","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Wou-Ki Zao","UNTITLED",14855240,16.5138632229247,2562000,"1958","0",18585.18,"0","0","1","1","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Wou-Ki Zao","VILLAGE DE MONTAGNE SE DISPERSENT",2328220,14.6606145850867,1281000,"1954","0",6716,"0","0","1","1","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Wou-Ki Zao","17.12.60",7559950,15.8383751343772,2562000,"1960","0",20865,"0","0","1","1","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Wou-Ki Zao","15.02.65",13104370,16.3884563203296,3843000,"1965","0",18915,"0","0","1","1","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Wou-Ki Zao","19.01.61",10186260,16.1365503113316,2562000,"1961","0",18391.84,"0","0","1","1","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Wou-Ki Zao","10.01.86",8289480,15.930497798968,1281000,"1986","0",25350,"0","0","1","1","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Pang Jiun","A THOUSAND SAILS ON THE SPRING TIDE",791020,13.5810785308802,320250,"2018","0",150000,"0","0","1","1","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Georges Mathieu","LA PASSION RETROUVÉE",480380,13.082332736348,204960,"1976","0",15714,"0","0","1","1","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Chin Hsiao","INNER LIGHT",272210,12.5143291062176,102480,"1966","0",13566,"0","0","1","1","0","0",2019,3,"Sunday",1,0,1,0,0,0,0,0,0,0
"Enrico Castellani","SUPERFICIE BIANCA",256200,12.4537136684448,166530,"1985","0",10000,"0","0","1","1","0","0",2019,3,"Sunday",1,0,1,0,0,0,0,0,0,0
"Lalan","LA LUNE EST VOILÉE",867880,13.6738087352373,192150,"1974","0",25350,"0","0","1","1","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
